"RK","PLAYER","TD"
"1","Jerry Rice","208"
"2","Emmitt Smith","175"
"3","LaDainian Tomlinson","162"
"4","Randy Moss","157"
"5","Terrell Owens","156"
"6","Marcus Allen","145"
"7","Marshall Faulk","136"
"8","Cris Carter","131"
"9","Marvin Harrison","128"
"10","Jim Brown","126"
"11","Walter Payton","125"
"12","John Riggins","116"
"13","Lenny Moore","113"
"14","Shaun Alexander","112"
"15","ANTONIO GATES","111"
"","Tony Gonzalez","111"
"17","Barry Sanders","109"
"18","Tim Brown","105"
"","Don Hutson","105"
"20","LARRY FITZGERALD","104"
